id_producto;Tipo;Marca;Característica;Sabor;Medida;Valor;unidades;Concadenado
1;Barrita;Kex;-;Chocolate;50g;1200;0;Barrita-Kex---Chocolate-50g
2;Barrita;Kex;-;Vainilla;50g;1200;8;Barrita-Kex---Vainilla-50g
3;Barrita;Space;-;Caramelo;50g;1500;0;Barrita-Space---Caramelo-50g
4;Barrita;Space;-;Cherry Poppy;50g;1500;43;Barrita-Space---Cherry Poppy-50g
5;Barrita;Space;-;Chocolate;50g;1500;14;Barrita-Space---Chocolate-50g
6;Barrita;Space;-;Chocolate;40g;1200;19;Barrita-Space---Chocolate-40g
61;Barrita;Space;-;Coconut;50g;1500;24;Barrita-Space---Coconut-50g
7;Barrita;Space;-;Multisabor;10g;0;33;Barrita-Space---Multisabor-10g
8;Barrita;Space;Deluxe;Vainilla;50g;1500;33;Barrita-Space-Deluxe-Vainilla-50g
9;Barrita;Space;XXL;Chocolate;80g;2000;31;Barrita-Space-XXL-Chocolate-80g
10;Creatina;Animal;-;-;300g;24990;1;Creatina-Animal-----300g
11;Creatina;Animal;-;-;1kg;49990;3;Creatina-Animal-----1kg
12;Creatina;BPI;-;-;600g;34990;2;Creatina-BPI-----600g
60;Creatina;Finaflex;-;-;300g;;4;Creatina-Finaflex-----300g
15;Creatina;GAT;-;-;1kg;49990;0;Creatina-GAT-----1kg
13;Creatina;Muscle tech;Clorhidrato;-;300g;29990;0;Creatina-Muscle tech-Clorhidrato---300g
14;Creatina;Muscle tech;Clorhidrato;Fruit Punch;300g;29990;0;Creatina-Muscle tech-Clorhidrato-Fruit Punch-300g
16;Creatina;USN;-;-;300g;29990;0;Creatina-USN-----300g
17;Energética;USN;Qhush;Bubblegum;500ml;2500;22;Energética-USN-Qhush-Bubblegum-500ml
18;Ganador;Ration;-;Vainilla;7.15lbs;49990;1;Ganador-Ration---Vainilla-7.15lbs
37;Pre entreno;Lipo 6 Black;-;-;60sv;24990;1;Pre entreno-Lipo 6 Black-----60sv
38;Pre entreno;Lipo 6 Black;Hardcore;-;60sv;24990;1;Pre entreno-Lipo 6 Black-Hardcore---60sv
39;Pre entreno;Lipo 6 Black;Intense Americano;-;60sv;27990;1;Pre entreno-Lipo 6 Black-Intense Americano---60sv
40;Pre entreno;Lipo 6 Black;Keto;-;60sv;24990;0;Pre entreno-Lipo 6 Black-Keto---60sv
41;Pre entreno;Stimul8;-;Apple Blast;30sv;24990;1;Pre entreno-Stimul8---Apple Blast-30sv
42;Pre entreno;Stimul8;-;Blue Raspberry;30sv;24990;1;Pre entreno-Stimul8---Blue Raspberry-30sv
43;Pre entreno;Stimul8;-;Deamsicle;30sv;24990;1;Pre entreno-Stimul8---Deamsicle-30sv
44;Pre entreno;Stimul8;-;Fruit Punch;30sv;24990;2;Pre entreno-Stimul8---Fruit Punch-30sv
45;Pre entreno;Venom;Inferno;-;40sv;24990;1;Pre entreno-Venom-Inferno---40sv
19;Proteína;Animal;-;Chocolate;10lb;89990;0;Proteína-Animal---Chocolate-10lb
20;Proteína;Animal;-;Chocolate;4lb;49990;2;Proteína-Animal---Chocolate-4lb
21;Proteína;Animal;-;Vainilla;4lb;49990;2;Proteína-Animal---Vainilla-4lb
58;Proteína;Animal;Isolate;Chocolate;4lbs;;1;Proteína-Animal-Isolate-Chocolate-4lbs
59;Proteína;Animal;Isolate;Vainilla;4lbs;;1;Proteína-Animal-Isolate-Vainilla-4lbs
22;Proteína;GAT;-;Vainilla;4,5lb;49990;0;Proteína-GAT---Vainilla-4,5lb
25;Proteína;Muscle tech;-;Chocolate;5lbs;64990;2;Proteína-Muscle tech---Chocolate-5lbs
23;Proteína;Muscle tech;-;Cookies and Cream;2lbs;44990;0;Proteína-Muscle tech---Cookies and Cream-2lbs
24;Proteína;Muscle tech;-;Cookies and Cream;5lbs;64990;2;Proteína-Muscle tech---Cookies and Cream-5lbs
26;Proteína;Oatmeal;-;Marshmallow;2lbs;29990;0;Proteína-Oatmeal---Marshmallow-2lbs
27;Proteína;Pure;-;Vainilla;2lbs;29990;0;Proteína-Pure---Vainilla-2lbs
28;Proteína;Ration;-;Chocolate;5lbs;54990;0;Proteína-Ration---Chocolate-5lbs
29;Proteína;Ration;-;Vainilla;5lbs;54990;0;Proteína-Ration---Vainilla-5lbs
32;Proteína;Universal;-;Cappuccino;5lbs;57990;0;Proteína-Universal---Cappuccino-5lbs
31;Proteína;Universal;-;Chocolate;5lbs;57990;0;Proteína-Universal---Chocolate-5lbs
30;Proteína;Universal;-;Cookies and Cream;5lbs;57990;0;Proteína-Universal---Cookies and Cream-5lbs
33;Proteína;Universal;-;Vainilla;5lbs;57990;1;Proteína-Universal---Vainilla-5lbs
35;Proteína;USN;-;Chocolate;5lbs;54990;0;Proteína-USN---Chocolate-5lbs
34;Proteína;USN;-;Cookies and Cream;5lbs;54990;5;Proteína-USN---Cookies and Cream-5lbs
36;Proteína;USN;-;Vainilla;5lbs;54990;1;Proteína-USN---Vainilla-5lbs
46;Shaker;Animal;-;Gris;-;5000;9;Shaker-Animal---Gris--
47;Shaker;Animal;-;Verde;-;5000;5;Shaker-Animal---Verde--
48;Shaker;BiotechUSA;Bidon 2.2lts;Azúl;-;12000;3;Shaker-BiotechUSA-Bidon 2.2lts-Azúl--
49;Shaker;Muscletech;-;Negro;-;5000;4;Shaker-Muscletech---Negro--
50;Shaker;Redcon1;-;Azúl;-;5000;9;Shaker-Redcon1---Azúl--
