id_compra;Proveedor;Producto;Unidades;Costo_Unidad;Costo_Total;Fecha
1;1;35;1;43990;43990;may 2023
2;1;36;1;44990;44990;may 2023
3;1;34;1;45990;45990;may 2023
4;1;33;1;49990;49990;may 2023
5;1;32;1;49990;49990;may 2023
6;1;31;1;49990;49990;may 2023
7;1;30;1;49990;49990;may 2023
8;1;14;2;25099;50198;jul 2023
9;1;13;2;25099;50198;jul 2023
10;1;43;1;17990;17990;jul 2023
11;1;44;1;17990;17990;jul 2023
12;1;27;2;19489;38978;jul 2023
13;1;34;2;45990;91980;jul 2023
14;1;23;2;26589;53178;jul 2023
15;1;5;24;890;21360;jul 2023
16;1;13;2;24290;48580;jul 2023
17;1;30;1;46489;46489;jul 2023
18;1;32;1;43739;43739;jul 2023
19;1;34;2;43490;86980;jul 2023
20;1;26;2;23989;47978;jul 2023
21;1;34;1;46489;46489;jul 2023
22;1;54;1;2990;2990;jul 2023
23;1;54;4;2490;9960;jul 2023
24;1;1;20;690;13800;ago 2023
25;1;2;16;690;11040;ago 2023
26;1;33;1;48290;48290;ago 2023
27;1;30;1;46489;46489;ago 2023
28;1;36;1;43290;43290;ago 2023
29;1;29;1;45190;45190;ago 2023
30;1;28;1;45190;45190;ago 2023
31;1;18;1;40190;40190;ago 2023
32;1;16;1;22990;22990;ago 2023
33;1;16;4;19389;77556;oct 2023
34;1;43;4;15689;62756;oct 2023
35;1;40;1;15189;15189;oct 2023
36;1;39;1;22990;22990;oct 2023
37;1;37;1;14739;14739;oct 2023
38;1;5;24;990;23760;oct 2023
39;1;34;2;43389;86778;oct 2023
40;1;47;2;2490;4980;oct 2023
41;1;52;2;2490;4980;oct 2023
42;1;30;1;45989;45989;oct 2023
43;1;31;1;45989;45989;oct 2023
44;1;54;1;2389;2389;oct 2023
45;1;2;1;1000;1000;jun 2023
46;1;2;1;1000;1000;sept 2023
47;1;16;3;19389;58167;nov 2023
48;1;31;2;45989;91978;nov 2023
49;1;30;1;45989;45989;nov 2023
50;1;33;1;47489;47489;nov 2023
51;1;47;6;2490;14940;nov 2023
52;1;51;2;2490;4980;nov 2023
53;1;34;1;43389;43389;nov 2023
54;1;36;1;45990;45990;nov 2023
55;1;54;2;2389;4778;nov 2023
56;1;51;2;2039;4078;nov 2023
57;1;42;2;15739;31478;nov 2023
58;1;36;2;45990;91980;nov 2023
59;1;30;2;49990;99980;nov 2023
60;1;54;4;2990;11960;nov 2023
61;1;52;2;2490;4980;nov 2023
62;1;2;16;1090;17440;nov 2023
63;1;42;1;17990;17990;nov 2023
64;1;41;2;17990;35980;nov 2023
65;1;7;36;250;9000;nov 2023
66;1;5;24;990;23760;nov 2023
67;1;37;1;16990;16990;nov 2023
68;1;6;30;790;23700;nov 2023
69;1;46;4;2490;9960;nov 2023
70;1;22;1;34990;34990;ene 2024
71;1;34;2;45990;91980;ene 2024
72;1;35;2;43990;87980;ene 2024
73;1;15;2;37990;75980;ene 2024
74;1;42;1;16990;16990;ene 2024
75;1;43;1;17990;17990;ene 2024
76;1;19;1;81740;81740;ene 2024
77;1;15;3;37990;113970;ene 2024
78;1;10;3;17990;53970;ene 2024
79;1;31;1;43490;43490;ene 2024
80;1;30;2;44790;89580;ene 2024
81;1;52;2;2490;4980;ene 2024
82;1;47;2;2490;4980;ene 2024
83;1;50;2;2490;4980;ene 2024
84;1;57;3;8990;26970;ene 2024
85;2;24;1;49990;49990;feb 2024
86;2;25;2;49990;99980;feb 2024
87;2;34;3;41990;125970;feb 2024
88;2;16;2;18990;37980;feb 2024
89;2;15;2;42990;85980;feb 2024
90;2;44;1;19990;19990;feb 2024
91;2;42;1;19990;19990;feb 2024
92;2;45;2;31990;63980;feb 2024
93;1;46;5;2490;12450;mar 2024
94;1;47;5;2490;12450;mar 2024
95;1;50;5;2490;12450;mar 2024
96;1;41;1;16990;16990;mar 2024
97;1;43;2;17990;35980;mar 2024
98;1;31;2;43490;86980;mar 2024
99;1;11;2;37790;75580;mar 2024
100;1;35;1;43990;43990;mar 2024
101;1;34;3;45990;137970;abr 2024
102;1;31;2;43490;86980;abr 2024
103;1;35;1;43990;43990;abr 2024
104;1;9;24;1190;28560;abr 2024
105;1;17;24;1590;38160;abr 2024
106;1;39;1;17190;17190;abr 2024
107;1;38;1;15990;15990;abr 2024
108;1;53;2;2490;4980;abr 2024
109;3;12;4;25000;100000;may 2024
110;3;9;24;1271;30504;may 2024
111;3;56;4;16000;64000;may 2024
112;3;48;4;8000;32000;may 2024
113;3;55;2;10000;20000;may 2024
114;3;41;1;19990;19990;may 2024
115;3;44;3;19990;59970;may 2024
116;3;42;2;19990;39980;may 2024
117;1;41;1;16790;16790;jun 2024
118;1;43;1;16790;16790;jun 2024
119;1;49;4;2390;9560;jun 2024
120;1;52;6;2290;13740;jun 2024
121;1;50;4;2290;9160;jun 2024
122;1;21;3;39190;117570;jun 2024
123;1;20;1;39190;39190;jun 2024
124;1;4;48;690;33120;jun 2024
125;1;11;4;39990;159960;jun 2024
126;1;46;2;2490;4980;jun 2024
127;1;8;48;690;33120;jun 2024
128;1;61;24;990;23760;02-07-2024
129;1;60;4;15990;63960;02-07-2024
130;1;59;1;49990;49990;02-07-2024
131;1;58;1;49990;49990;02-07-2024
132;1;24;1;54990;54990;02-07-2024
133;1;20;1;39190;39190;02-07-2024
134;1;21;1;39190;39190;02-07-2024
135;1;62;4;8990;35960;02-07-2024
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
